data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
KEN000013,KEN,KEN000013,13,2021-08-26,2021,1,Battles,Government regains territory,Military Forces of Kenya,,7,Protesters (Kenya),,3,79,Eastern Africa,Kenya,North Eastern,Wajir,,Wajir,1.4891552715115006,40.22943554740588,1,Government,International,"Government regains territory reported in Wajir, North Eastern region.",0,2021-08-26T15:51:23.486983
KEN000014,KEN,KEN000014,14,2024-11-08,2024,1,Protests,Peaceful protest,Civilians (Kenya),,3,Al Shabaab,,3,61,Eastern Africa,Kenya,Rift Valley,Baringo,,Kabarnet,0.31268006497173584,35.429618510399855,1,Media,National,"Peaceful protest reported in Kabarnet, Rift Valley region.",0,2024-11-08T15:51:23.486983
KEN000015,KEN,KEN000015,15,2022-05-23,2022,1,Explosions/Remote violence,Suicide bomb,Political Militia (Kenya),,3,,,7,69,Eastern Africa,Kenya,Coast,Mombasa,,Mombasa,-3.705789894092672,39.84389011703928,1,Media,Subnational,"Suicide bomb reported in Mombasa, Coast region.",0,2022-05-23T15:51:23.486983
KEN000016,KEN,KEN000016,16,2023-11-16,2023,1,Strategic developments,Non-violent transfer of territory,Al Shabaab,,3,Al Shabaab,,3,33,Eastern Africa,Kenya,Central,Kiambu,,Kiambu,-1.1131065463929024,37.21823634318934,1,Government,National,"Non-violent transfer of territory reported in Kiambu, Central region.",0,2023-11-16T15:51:23.486983
KEN000017,KEN,KEN000017,17,2021-10-16,2021,1,Riots,Violent demonstration,Al Shabaab,,1,,,7,75,Eastern Africa,Kenya,Nairobi,Nairobi,,Nairobi,-1.6247712859053862,37.21575418852708,1,Government,International,"Violent demonstration reported in Nairobi, Nairobi region.",0,2021-10-16T15:51:23.486983
KEN000018,KEN,KEN000018,18,2024-08-28,2024,1,Protests,Peaceful protest,Ethnic Militia (Kenya),,7,Military Forces of Kenya,,7,68,Eastern Africa,Kenya,North Eastern,Garissa,,Garissa,-0.24142077865246414,39.377349087496796,1,NGO,Subnational,"Peaceful protest reported in Garissa, North Eastern region.",0,2024-08-28T15:51:23.486983
KEN000019,KEN,KEN000019,19,2022-04-18,2022,1,Violence against civilians,Abduction/forced disappearance,Police Forces of Kenya,,5,Military Forces of Kenya,,4,70,Eastern Africa,Kenya,Eastern,Isiolo,,Isiolo,0.8286105547524456,37.47529772466676,1,International Organization,International,"Abduction/forced disappearance reported in Isiolo, Eastern region.",4,2022-04-18T15:51:23.486983
KEN000020,KEN,KEN000020,20,2021-07-12,2021,1,Riots,Mob violence,Protesters (Kenya),,6,Pastoralist Militia (Kenya),,4,33,Eastern Africa,Kenya,Nairobi,Nairobi,,Nairobi,-1.7427962282455662,37.31175051079734,1,Media,National,"Mob violence reported in Nairobi, Nairobi region.",0,2021-07-12T15:51:23.486983
KEN000021,KEN,KEN000021,21,2021-10-15,2021,1,Riots,Violent demonstration,Unidentified Armed Group (Kenya),,1,Police Forces of Kenya,,0,63,Eastern Africa,Kenya,Coast,Lamu,,Lamu,-1.7882684162839544,40.47734625600613,1,Government,International,"Violent demonstration reported in Lamu, Coast region.",0,2021-10-15T15:51:23.486983
KEN000022,KEN,KEN000022,22,2023-09-24,2023,1,Riots,Mob violence,Political Militia (Kenya),,2,Ethnic Militia (Kenya),,0,18,Eastern Africa,Kenya,Coast,Mombasa,,Mombasa,-3.92849277330083,40.15825385010426,1,NGO,Subnational,"Mob violence reported in Mombasa, Coast region.",0,2023-09-24T15:51:23.486983
KEN000023,KEN,KEN000023,23,2023-08-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Political Militia (Kenya),,7,Civilians (Kenya),,0,17,Eastern Africa,Kenya,Nyanza,Kisumu,,Kisumu,0.2071611554785136,35.071813394679175,1,International Organization,Subnational,"Shelling/artillery/missile attack reported in Kisumu, Nyanza region.",1,2023-08-14T15:51:23.486983
KEN000024,KEN,KEN000024,24,2026-02-02,2026,1,Protests,Excessive force against protesters,Rioters (Kenya),,3,Rioters (Kenya),,1,67,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,2.6467167718737046,35.67586489550756,1,Government,National,"Excessive force against protesters reported in Lodwar, Rift Valley region.",0,2026-02-02T15:51:23.486983
KEN000025,KEN,KEN000025,25,2021-10-26,2021,1,Battles,Government regains territory,Protesters (Kenya),,7,,,4,56,Eastern Africa,Kenya,North Eastern,Wajir,,Wajir,1.7841824271966555,39.88395124179604,1,NGO,International,"Government regains territory reported in Wajir, North Eastern region.",2,2021-10-26T15:51:23.486983
KEN000026,KEN,KEN000026,26,2022-11-23,2022,1,Battles,Armed clash,Al Shabaab,,4,Political Militia (Kenya),,4,71,Eastern Africa,Kenya,Coast,Mombasa,,Mombasa,-4.027199651698805,39.49115647294124,1,NGO,International,"Armed clash reported in Mombasa, Coast region.",1,2022-11-23T15:51:23.486983
KEN000027,KEN,KEN000027,27,2023-04-17,2023,1,Protests,Peaceful protest,Rioters (Kenya),,1,Protesters (Kenya),,0,25,Eastern Africa,Kenya,Nairobi,Nairobi,,Nairobi,-1.6131056799291543,36.473637042671086,1,Media,International,"Peaceful protest reported in Nairobi, Nairobi region.",0,2023-04-17T15:51:23.486983
KEN000028,KEN,KEN000028,28,2021-07-08,2021,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,5,78,Eastern Africa,Kenya,North Eastern,Wajir,,Wajir,1.9771393165618187,39.60501612769165,1,NGO,National,"Peaceful protest reported in Wajir, North Eastern region.",0,2021-07-08T15:51:23.486983
KEN000029,KEN,KEN000029,29,2022-05-24,2022,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Kenya),,4,,,5,32,Eastern Africa,Kenya,North Eastern,Garissa,,Garissa,-0.7782697301106615,39.15726110183175,1,Government,Subnational,"Abduction/forced disappearance reported in Garissa, North Eastern region.",1,2022-05-24T15:51:23.486983
KEN000030,KEN,KEN000030,30,2025-09-14,2025,1,Strategic developments,Headquarters or base established,Military Forces of Kenya,,5,Ethnic Militia (Kenya),,7,11,Eastern Africa,Kenya,Coast,Mombasa,,Mombasa,-4.282606376658286,39.183504540290386,1,Media,International,"Headquarters or base established reported in Mombasa, Coast region.",0,2025-09-14T15:51:23.486983
KEN000031,KEN,KEN000031,31,2022-12-27,2022,1,Protests,Protest with intervention,Al Shabaab,,1,Political Militia (Kenya),,2,53,Eastern Africa,Kenya,Coast,Lamu,,Lamu,-2.125311781557647,40.860252890491516,1,Media,National,"Protest with intervention reported in Lamu, Coast region.",0,2022-12-27T15:51:23.486983
KEN000032,KEN,KEN000032,32,2023-02-01,2023,1,Violence against civilians,Abduction/forced disappearance,Ethnic Militia (Kenya),,5,Political Militia (Kenya),,5,43,Eastern Africa,Kenya,Coast,Mombasa,,Mombasa,-4.504536867689766,39.78645388433789,1,NGO,National,"Abduction/forced disappearance reported in Mombasa, Coast region.",0,2023-02-01T15:51:23.486983
KEN000033,KEN,KEN000033,33,2024-12-05,2024,1,Riots,Mob violence,Protesters (Kenya),,5,,,1,33,Eastern Africa,Kenya,North Eastern,Mandera,,Mandera,3.7849366044531974,42.303648151855704,1,International Organization,International,"Mob violence reported in Mandera, North Eastern region.",0,2024-12-05T15:51:23.486983
KEN000034,KEN,KEN000034,34,2022-11-29,2022,1,Strategic developments,Headquarters or base established,Protesters (Kenya),,4,Unidentified Armed Group (Kenya),,0,39,Eastern Africa,Kenya,Coast,Mombasa,,Mombasa,-4.293483550783895,39.748744012343906,1,Media,National,"Headquarters or base established reported in Mombasa, Coast region.",0,2022-11-29T15:51:23.486983
KEN000035,KEN,KEN000035,35,2021-07-31,2021,1,Riots,Mob violence,Al Shabaab,,4,Civilians (Kenya),,2,25,Eastern Africa,Kenya,Rift Valley,Baringo,,Kabarnet,0.31194960103061176,36.1386232284962,1,Media,National,"Mob violence reported in Kabarnet, Rift Valley region.",3,2021-07-31T15:51:23.486983
KEN000036,KEN,KEN000036,36,2024-04-24,2024,1,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,5,Political Militia (Kenya),,6,23,Eastern Africa,Kenya,North Eastern,Garissa,,Garissa,-0.2810815439229616,39.89247452943768,1,NGO,Subnational,"Attack reported in Garissa, North Eastern region.",3,2024-04-24T15:51:23.486983
KEN000037,KEN,KEN000037,37,2022-09-15,2022,1,Explosions/Remote violence,Suicide bomb,Political Militia (Kenya),,4,Rioters (Kenya),,6,55,Eastern Africa,Kenya,Eastern,Marsabit,,Marsabit,2.1794150125520786,37.6069670164276,1,Media,Subnational,"Suicide bomb reported in Marsabit, Eastern region.",2,2022-09-15T15:51:23.486983
KEN000038,KEN,KEN000038,38,2025-01-20,2025,1,Explosions/Remote violence,Suicide bomb,Military Forces of Kenya,,6,Unidentified Armed Group (Kenya),,0,54,Eastern Africa,Kenya,Nyanza,Kisumu,,Kisumu,-0.4555951783079745,34.77502616869239,1,International Organization,Subnational,"Suicide bomb reported in Kisumu, Nyanza region.",8,2025-01-20T15:51:23.486983
KEN000039,KEN,KEN000039,39,2023-01-19,2023,1,Protests,Excessive force against protesters,Unidentified Armed Group (Kenya),,6,Police Forces of Kenya,,3,67,Eastern Africa,Kenya,Eastern,Marsabit,,Marsabit,2.2064875901222543,38.19498436429666,1,International Organization,National,"Excessive force against protesters reported in Marsabit, Eastern region.",0,2023-01-19T15:51:23.486983
KEN000040,KEN,KEN000040,40,2022-06-24,2022,1,Protests,Excessive force against protesters,Military Forces of Kenya,,1,Rioters (Kenya),,4,15,Eastern Africa,Kenya,Nairobi,Nairobi,,Nairobi,-1.1053605729030909,36.55470647129247,1,Government,National,"Excessive force against protesters reported in Nairobi, Nairobi region.",0,2022-06-24T15:51:23.486983
KEN000041,KEN,KEN000041,41,2023-03-10,2023,1,Strategic developments,Looting/property destruction,Civilians (Kenya),,1,Pastoralist Militia (Kenya),,0,23,Eastern Africa,Kenya,North Eastern,Mandera,,Mandera,3.4800007832981725,42.29164333022359,1,NGO,International,"Looting/property destruction reported in Mandera, North Eastern region.",0,2023-03-10T15:51:23.486983
KEN000042,KEN,KEN000042,42,2023-10-03,2023,1,Strategic developments,Non-violent transfer of territory,Ethnic Militia (Kenya),,6,Protesters (Kenya),,7,45,Eastern Africa,Kenya,North Eastern,Wajir,,Wajir,1.63130183137922,40.29440070584302,1,Government,Subnational,"Non-violent transfer of territory reported in Wajir, North Eastern region.",0,2023-10-03T15:51:23.486983
KEN000043,KEN,KEN000043,43,2023-09-21,2023,1,Violence against civilians,Attack,Military Forces of Kenya,,5,Al Shabaab,,4,15,Eastern Africa,Kenya,Rift Valley,Baringo,,Kabarnet,0.2518498628542627,35.69634084682883,1,Government,International,"Attack reported in Kabarnet, Rift Valley region.",1,2023-09-21T15:51:23.486983
KEN000044,KEN,KEN000044,44,2024-07-24,2024,1,Protests,Excessive force against protesters,Protesters (Kenya),,7,Rioters (Kenya),,0,27,Eastern Africa,Kenya,Rift Valley,Baringo,,Kabarnet,0.4101430362906189,36.17582848335401,1,International Organization,International,"Excessive force against protesters reported in Kabarnet, Rift Valley region.",0,2024-07-24T15:51:23.486983
KEN000045,KEN,KEN000045,45,2023-04-10,2023,1,Violence against civilians,Attack,Military Forces of Kenya,,2,,,6,10,Eastern Africa,Kenya,Nyanza,Kisumu,,Kisumu,-0.2213091433689785,35.2316143978146,1,Media,International,"Attack reported in Kisumu, Nyanza region.",1,2023-04-10T15:51:23.486983
KEN000046,KEN,KEN000046,46,2025-02-04,2025,1,Protests,Peaceful protest,Protesters (Kenya),,5,Al Shabaab,,0,10,Eastern Africa,Kenya,North Eastern,Mandera,,Mandera,4.436317673286131,42.363636837073905,1,NGO,National,"Peaceful protest reported in Mandera, North Eastern region.",0,2025-02-04T15:51:23.486983
KEN000047,KEN,KEN000047,47,2024-11-07,2024,1,Riots,Mob violence,Unidentified Armed Group (Kenya),,2,Rioters (Kenya),,5,12,Eastern Africa,Kenya,Nairobi,Nairobi,,Nairobi,-1.1146993155941431,36.93532824045789,1,NGO,Subnational,"Mob violence reported in Nairobi, Nairobi region.",0,2024-11-07T15:51:23.486983
KEN000048,KEN,KEN000048,48,2022-03-12,2022,1,Protests,Protest with intervention,Unidentified Armed Group (Kenya),,7,Police Forces of Kenya,,2,60,Eastern Africa,Kenya,Central,Kiambu,,Kiambu,-1.1104620284646138,37.21225360265834,1,NGO,Subnational,"Protest with intervention reported in Kiambu, Central region.",0,2022-03-12T15:51:23.486983
KEN000049,KEN,KEN000049,49,2024-10-25,2024,1,Riots,Mob violence,Police Forces of Kenya,,4,Military Forces of Kenya,,7,39,Eastern Africa,Kenya,North Eastern,Wajir,,Wajir,1.8551878495418852,40.19394432162228,1,NGO,Subnational,"Mob violence reported in Wajir, North Eastern region.",0,2024-10-25T15:51:23.486983
KEN000050,KEN,KEN000050,50,2024-10-20,2024,1,Protests,Peaceful protest,Civilians (Kenya),,5,Protesters (Kenya),,1,52,Eastern Africa,Kenya,Eastern,Marsabit,,Marsabit,1.975573480929038,38.416487625161494,1,International Organization,International,"Peaceful protest reported in Marsabit, Eastern region.",0,2024-10-20T15:51:23.486983
KEN000051,KEN,KEN000051,51,2024-12-03,2024,1,Battles,Armed clash,Civilians (Kenya),,4,Al Shabaab,,7,76,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,2.7471458389577723,35.24890269351229,1,NGO,National,"Armed clash reported in Lodwar, Rift Valley region.",2,2024-12-03T15:51:23.486983
KEN000052,KEN,KEN000052,52,2025-03-05,2025,1,Strategic developments,Looting/property destruction,Rioters (Kenya),,5,Protesters (Kenya),,0,21,Eastern Africa,Kenya,Nyanza,Kisumu,,Kisumu,-0.3783509340936794,35.083490636844445,1,Government,Subnational,"Looting/property destruction reported in Kisumu, Nyanza region.",0,2025-03-05T15:51:23.486983
KEN000053,KEN,KEN000053,53,2021-10-11,2021,1,Explosions/Remote violence,Air/drone strike,Rioters (Kenya),,7,Military Forces of Kenya,,1,45,Eastern Africa,Kenya,Nyanza,Kisumu,,Kisumu,0.0881948286293653,34.3010121398411,1,Media,National,"Air/drone strike reported in Kisumu, Nyanza region.",1,2021-10-11T15:51:23.486983
KEN000054,KEN,KEN000054,54,2021-04-23,2021,1,Riots,Mob violence,Political Militia (Kenya),,6,,,2,16,Eastern Africa,Kenya,Rift Valley,West Pokot,,Kapenguria,1.2234229851910212,35.230154771530295,1,NGO,International,"Mob violence reported in Kapenguria, Rift Valley region.",0,2021-04-23T15:51:23.486983
KEN000055,KEN,KEN000055,55,2023-02-13,2023,1,Protests,Excessive force against protesters,Pastoralist Militia (Kenya),,7,Political Militia (Kenya),,6,66,Eastern Africa,Kenya,Central,Kiambu,,Kiambu,-1.564227988660224,36.783012366823456,1,Media,International,"Excessive force against protesters reported in Kiambu, Central region.",0,2023-02-13T15:51:23.486983
KEN000056,KEN,KEN000056,56,2021-03-01,2021,1,Battles,Government regains territory,Al Shabaab,,1,Civilians (Kenya),,6,43,Eastern Africa,Kenya,Central,Kiambu,,Kiambu,-1.4381835884501988,36.67852686427826,1,NGO,National,"Government regains territory reported in Kiambu, Central region.",2,2021-03-01T15:51:23.486983
KEN000057,KEN,KEN000057,57,2024-10-10,2024,1,Riots,Mob violence,Ethnic Militia (Kenya),,3,Protesters (Kenya),,0,42,Eastern Africa,Kenya,Rift Valley,Baringo,,Kabarnet,0.3293468338719181,36.14274739714501,1,Media,Subnational,"Mob violence reported in Kabarnet, Rift Valley region.",0,2024-10-10T15:51:23.486983
KEN000058,KEN,KEN000058,58,2025-02-13,2025,1,Violence against civilians,Abduction/forced disappearance,Ethnic Militia (Kenya),,7,Al Shabaab,,2,40,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,3.106909800808738,35.94781751783615,1,International Organization,National,"Abduction/forced disappearance reported in Lodwar, Rift Valley region.",0,2025-02-13T15:51:23.486983
KEN000059,KEN,KEN000059,59,2022-11-12,2022,1,Strategic developments,Non-violent transfer of territory,Ethnic Militia (Kenya),,6,Pastoralist Militia (Kenya),,1,17,Eastern Africa,Kenya,Coast,Mombasa,,Mombasa,-3.96750158219434,40.08559561308553,1,Government,International,"Non-violent transfer of territory reported in Mombasa, Coast region.",0,2022-11-12T15:51:23.486983
KEN000060,KEN,KEN000060,60,2023-01-29,2023,1,Protests,Peaceful protest,Military Forces of Kenya,,4,,,1,23,Eastern Africa,Kenya,North Eastern,Wajir,,Wajir,2.2150940665042342,40.26825247883674,1,International Organization,Subnational,"Peaceful protest reported in Wajir, North Eastern region.",0,2023-01-29T15:51:23.486983
KEN000061,KEN,KEN000061,61,2023-07-26,2023,1,Riots,Violent demonstration,Political Militia (Kenya),,5,,,3,11,Eastern Africa,Kenya,North Eastern,Garissa,,Garissa,-0.6329578078404857,39.733983097557896,1,Media,Subnational,"Violent demonstration reported in Garissa, North Eastern region.",0,2023-07-26T15:51:23.486983
KEN000062,KEN,KEN000062,62,2023-08-04,2023,1,Battles,Non-state actor overtakes territory,Unidentified Armed Group (Kenya),,3,Military Forces of Kenya,,4,71,Eastern Africa,Kenya,North Eastern,Mandera,,Mandera,3.4393108994143295,41.483696064141675,1,International Organization,Subnational,"Non-state actor overtakes territory reported in Mandera, North Eastern region.",1,2023-08-04T15:51:23.486983
KEN000063,KEN,KEN000063,63,2022-07-02,2022,1,Battles,Non-state actor overtakes territory,Rioters (Kenya),,4,Ethnic Militia (Kenya),,2,23,Eastern Africa,Kenya,Rift Valley,Baringo,,Kabarnet,0.19690181005323726,35.622328584963796,1,International Organization,Subnational,"Non-state actor overtakes territory reported in Kabarnet, Rift Valley region.",2,2022-07-02T15:51:23.486983
KEN000064,KEN,KEN000064,64,2022-09-01,2022,1,Protests,Peaceful protest,Political Militia (Kenya),,1,Ethnic Militia (Kenya),,6,23,Eastern Africa,Kenya,North Eastern,Mandera,,Mandera,3.6722917460649995,42.000758563720176,1,International Organization,International,"Peaceful protest reported in Mandera, North Eastern region.",0,2022-09-01T15:51:23.486983
KEN000065,KEN,KEN000065,65,2021-06-29,2021,1,Riots,Violent demonstration,Unidentified Armed Group (Kenya),,2,Ethnic Militia (Kenya),,7,60,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,3.0578446753883393,35.67448627090613,1,NGO,International,"Violent demonstration reported in Lodwar, Rift Valley region.",0,2021-06-29T15:51:23.486983
KEN000066,KEN,KEN000066,66,2025-04-08,2025,1,Explosions/Remote violence,Suicide bomb,Military Forces of Kenya,,4,Civilians (Kenya),,4,47,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,3.3496491368093015,35.79071760740334,1,Media,National,"Suicide bomb reported in Lodwar, Rift Valley region.",3,2025-04-08T15:51:23.486983
KEN000067,KEN,KEN000067,67,2025-04-30,2025,1,Protests,Excessive force against protesters,Political Militia (Kenya),,1,,,4,40,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,2.7622279855484697,35.30154459316947,1,NGO,National,"Excessive force against protesters reported in Lodwar, Rift Valley region.",0,2025-04-30T15:51:23.486983
KEN000068,KEN,KEN000068,68,2021-12-25,2021,1,Battles,Non-state actor overtakes territory,Police Forces of Kenya,,3,Al Shabaab,,3,45,Eastern Africa,Kenya,Eastern,Marsabit,,Marsabit,2.3683606371128367,37.9762574819956,1,Government,International,"Non-state actor overtakes territory reported in Marsabit, Eastern region.",2,2021-12-25T15:51:23.486983
KEN000069,KEN,KEN000069,69,2024-04-07,2024,1,Riots,Mob violence,Political Militia (Kenya),,6,Political Militia (Kenya),,4,71,Eastern Africa,Kenya,Western,Bungoma,,Bungoma,1.0225747945640278,34.40312425717855,1,Government,National,"Mob violence reported in Bungoma, Western region.",0,2024-04-07T15:51:23.486983
KEN000070,KEN,KEN000070,70,2024-04-06,2024,1,Violence against civilians,Sexual violence,Ethnic Militia (Kenya),,7,,,3,40,Eastern Africa,Kenya,Central,Kiambu,,Kiambu,-1.5691873357748003,37.254350522260744,1,Government,National,"Sexual violence reported in Kiambu, Central region.",5,2024-04-06T15:51:23.486983
KEN000071,KEN,KEN000071,71,2025-01-05,2025,1,Explosions/Remote violence,Shelling/artillery/missile attack,Protesters (Kenya),,5,,,3,63,Eastern Africa,Kenya,Eastern,Isiolo,,Isiolo,0.7899670147690149,38.00776851290678,1,NGO,National,"Shelling/artillery/missile attack reported in Isiolo, Eastern region.",0,2025-01-05T15:51:23.486983
KEN000072,KEN,KEN000072,72,2025-01-29,2025,1,Violence against civilians,Abduction/forced disappearance,Pastoralist Militia (Kenya),,2,Protesters (Kenya),,1,50,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,2.8464956208771124,35.70489439379426,1,NGO,International,"Abduction/forced disappearance reported in Lodwar, Rift Valley region.",0,2025-01-29T15:51:23.486983
KEN000073,KEN,KEN000073,73,2022-05-25,2022,1,Explosions/Remote violence,Air/drone strike,Military Forces of Kenya,,3,,,2,60,Eastern Africa,Kenya,Western,Bungoma,,Bungoma,0.9864602317984849,34.526300122318816,1,Government,National,"Air/drone strike reported in Bungoma, Western region.",2,2022-05-25T15:51:23.486983
KEN000074,KEN,KEN000074,74,2021-04-08,2021,1,Riots,Mob violence,Political Militia (Kenya),,4,,,0,58,Eastern Africa,Kenya,North Eastern,Mandera,,Mandera,4.3514459010681,41.72939389911663,1,International Organization,Subnational,"Mob violence reported in Mandera, North Eastern region.",0,2021-04-08T15:51:23.486983
KEN000075,KEN,KEN000075,75,2025-11-30,2025,1,Protests,Excessive force against protesters,Ethnic Militia (Kenya),,3,Military Forces of Kenya,,4,39,Eastern Africa,Kenya,Eastern,Marsabit,,Marsabit,2.012962871418856,37.78949591176647,1,International Organization,International,"Excessive force against protesters reported in Marsabit, Eastern region.",1,2025-11-30T15:51:23.486983
KEN000076,KEN,KEN000076,76,2023-10-20,2023,1,Battles,Government regains territory,Rioters (Kenya),,3,,,0,17,Eastern Africa,Kenya,Coast,Lamu,,Lamu,-2.3153111652519724,40.926390269327584,1,Media,International,"Government regains territory reported in Lamu, Coast region.",1,2023-10-20T15:51:23.486983
KEN000077,KEN,KEN000077,77,2021-05-02,2021,1,Strategic developments,Arrests,Police Forces of Kenya,,7,Military Forces of Kenya,,0,76,Eastern Africa,Kenya,Nyanza,Kisumu,,Kisumu,0.2952304098188842,34.78827846665929,1,International Organization,International,"Arrests reported in Kisumu, Nyanza region.",0,2021-05-02T15:51:23.486983
KEN000078,KEN,KEN000078,78,2022-09-06,2022,1,Protests,Peaceful protest,Ethnic Militia (Kenya),,2,Ethnic Militia (Kenya),,5,41,Eastern Africa,Kenya,Rift Valley,West Pokot,,Kapenguria,0.8430085819845737,35.41181608537319,1,International Organization,Subnational,"Peaceful protest reported in Kapenguria, Rift Valley region.",0,2022-09-06T15:51:23.486983
