id,content,category,threat_level,event_type,location,region,country,latitude,longitude,fatalities,timestamp,source,content_length,word_count,has_fatalities,severity_score
KEN000071,"Shelling/artillery/missile attack reported in Isiolo, Eastern region.",terrorism,medium,Explosions/Remote violence,Isiolo,Eastern,Kenya,0.7899670147690149,38.00776851290678,0,2025-01-05,NGO,69,7,0,0.5
KEN000072,"Abduction/forced disappearance reported in Lodwar, Rift Valley region.",violence,medium,Violence against civilians,Lodwar,Rift Valley,Kenya,2.8464956208771124,35.70489439379426,0,2025-01-29,NGO,70,8,0,0.5
KEN000073,"Air/drone strike reported in Bungoma, Western region.",terrorism,medium,Explosions/Remote violence,Bungoma,Western,Kenya,0.9864602317984849,34.526300122318816,2,2022-05-25,Government,53,7,1,0.5
KEN000074,"Mob violence reported in Mandera, North Eastern region.",civil_unrest,low,Riots,Mandera,North Eastern,Kenya,4.3514459010681,41.72939389911663,0,2021-04-08,International Organization,55,8,0,0.25
KEN000075,"Excessive force against protesters reported in Marsabit, Eastern region.",civil_unrest,low,Protests,Marsabit,Eastern,Kenya,2.012962871418856,37.78949591176647,1,2025-11-30,International Organization,72,9,1,0.25
KEN000076,"Government regains territory reported in Lamu, Coast region.",armed_conflict,medium,Battles,Lamu,Coast,Kenya,-2.3153111652519724,40.926390269327584,1,2023-10-20,Media,60,8,1,0.5
KEN000077,"Arrests reported in Kisumu, Nyanza region.",political,low,Strategic developments,Kisumu,Nyanza,Kenya,0.2952304098188842,34.78827846665929,0,2021-05-02,International Organization,42,6,0,0.25
KEN000078,"Peaceful protest reported in Kapenguria, Rift Valley region.",civil_unrest,low,Protests,Kapenguria,Rift Valley,Kenya,0.8430085819845737,35.41181608537319,0,2022-09-06,International Organization,60,8,0,0.25
KEN000079,"Peaceful protest reported in Wajir, North Eastern region.",civil_unrest,low,Protests,Wajir,North Eastern,Kenya,1.452084295415821,39.85044773026101,1,2023-09-06,International Organization,57,8,1,0.25
KEN000080,"Excessive force against protesters reported in Mandera, North Eastern region.",civil_unrest,low,Protests,Mandera,North Eastern,Kenya,3.778417351697876,41.62642343343129,0,2024-12-15,Government,77,10,0,0.25
KEN000081,"Abduction/forced disappearance reported in Wajir, North Eastern region.",violence,medium,Violence against civilians,Wajir,North Eastern,Kenya,2.026858774788031,39.6715379259204,1,2024-05-01,International Organization,71,8,1,0.5
KEN000082,"Violent demonstration reported in Kabarnet, Rift Valley region.",civil_unrest,low,Riots,Kabarnet,Rift Valley,Kenya,0.13125607407282414,36.0780302367993,0,2021-02-08,International Organization,63,8,0,0.25
KEN000083,"Attack reported in Mandera, North Eastern region.",violence,medium,Violence against civilians,Mandera,North Eastern,Kenya,4.088020388351864,42.1967418037072,0,2025-07-16,NGO,49,7,0,0.5
KEN000084,"Violent demonstration reported in Mandera, North Eastern region.",civil_unrest,low,Riots,Mandera,North Eastern,Kenya,3.6119712786234492,42.28141194592496,0,2023-08-15,NGO,64,8,0,0.25
KEN000085,"Non-state actor overtakes territory reported in Kisumu, Nyanza region.",armed_conflict,medium,Battles,Kisumu,Nyanza,Kenya,-0.5339502946459084,35.098778990703025,0,2021-02-15,Government,70,9,0,0.5
KEN000086,"Protest with intervention reported in Wajir, North Eastern region.",civil_unrest,low,Protests,Wajir,North Eastern,Kenya,1.9796720972102504,39.77224037859075,0,2025-05-26,Government,66,9,0,0.25
KEN000087,"Attack reported in Nairobi, Nairobi region.",violence,medium,Violence against civilians,Nairobi,Nairobi,Kenya,-1.2909086837938015,37.00560239642773,1,2021-03-18,NGO,43,6,1,0.5
KEN000088,"Non-state actor overtakes territory reported in Mandera, North Eastern region.",armed_conflict,medium,Battles,Mandera,North Eastern,Kenya,3.528182073326634,42.28431357546224,3,2023-09-19,NGO,78,10,1,0.5
KEN000089,"Peaceful protest reported in Wajir, North Eastern region.",civil_unrest,low,Protests,Wajir,North Eastern,Kenya,1.884331579789487,40.53787680017999,0,2022-05-16,NGO,57,8,0,0.25
KEN000090,"Mob violence reported in Lodwar, Rift Valley region.",civil_unrest,low,Riots,Lodwar,Rift Valley,Kenya,2.6530459785857987,35.79442026724684,0,2021-06-21,NGO,52,8,0,0.25
KEN000091,"Violent demonstration reported in Nairobi, Nairobi region.",civil_unrest,low,Riots,Nairobi,Nairobi,Kenya,-1.1362326495567718,36.68189724945731,0,2022-10-17,NGO,58,7,0,0.25
KEN000092,"Attack reported in Garissa, North Eastern region.",violence,medium,Violence against civilians,Garissa,North Eastern,Kenya,-0.16287683516103646,39.45885250293207,1,2023-01-27,Government,49,7,1,0.5
KEN000093,"Armed clash reported in Marsabit, Eastern region.",armed_conflict,medium,Battles,Marsabit,Eastern,Kenya,2.212463889919726,38.42248990942525,0,2024-01-03,International Organization,49,7,0,0.5
KEN000094,"Air/drone strike reported in Kabarnet, Rift Valley region.",terrorism,medium,Explosions/Remote violence,Kabarnet,Rift Valley,Kenya,0.32827046382842207,35.76561919163452,0,2022-09-04,Government,58,8,0,0.5
KEN000095,"Armed clash reported in Mandera, North Eastern region.",armed_conflict,medium,Battles,Mandera,North Eastern,Kenya,4.424322389736031,41.79477313373586,0,2023-05-02,International Organization,54,8,0,0.5
KEN000096,"Non-violent transfer of territory reported in Kapenguria, Rift Valley region.",political,low,Strategic developments,Kapenguria,Rift Valley,Kenya,1.2063015112498696,35.22531138921071,0,2024-04-26,Government,77,10,0,0.25
KEN000097,"Sexual violence reported in Kapenguria, Rift Valley region.",violence,medium,Violence against civilians,Kapenguria,Rift Valley,Kenya,1.08902525916673,34.669742676563395,0,2024-01-11,Government,59,8,0,0.5
KEN000098,"Excessive force against protesters reported in Lamu, Coast region.",civil_unrest,low,Protests,Lamu,Coast,Kenya,-2.5441594281633395,40.62581761482262,0,2024-02-22,Media,66,9,0,0.25
KEN000099,"Headquarters or base established reported in Kisumu, Nyanza region.",political,low,Strategic developments,Kisumu,Nyanza,Kenya,0.20731607472487806,34.91694198063902,0,2024-08-12,International Organization,67,9,0,0.25
KEN000100,"Violent demonstration reported in Kiambu, Central region.",civil_unrest,low,Riots,Kiambu,Central,Kenya,-1.5619311399455462,37.23007993096807,0,2023-10-05,International Organization,57,7,0,0.25
KEN000101,"Violent demonstration reported in Marsabit, Eastern region.",civil_unrest,low,Riots,Marsabit,Eastern,Kenya,2.5624099189537017,38.011160312180415,0,2022-01-06,Media,59,7,0,0.25
KEN000102,"Excessive force against protesters reported in Bungoma, Western region.",civil_unrest,low,Protests,Bungoma,Western,Kenya,0.8162166395576412,34.21920510529308,0,2025-12-11,NGO,71,9,0,0.25
KEN000103,"Excessive force against protesters reported in Mombasa, Coast region.",civil_unrest,low,Protests,Mombasa,Coast,Kenya,-3.7255329758809377,40.00033417795774,0,2025-05-02,International Organization,69,9,0,0.25
KEN000104,"Protest with intervention reported in Lamu, Coast region.",civil_unrest,low,Protests,Lamu,Coast,Kenya,-2.007572097497972,40.94326657867611,0,2024-07-06,NGO,57,8,0,0.25
KEN000105,"Peaceful protest reported in Kisumu, Nyanza region.",civil_unrest,low,Protests,Kisumu,Nyanza,Kenya,-0.1286261115649115,34.319620460558795,2,2024-03-24,Media,51,7,1,0.25
KEN000106,"Excessive force against protesters reported in Lamu, Coast region.",civil_unrest,low,Protests,Lamu,Coast,Kenya,-2.516091250311618,40.403029479845635,0,2025-03-21,NGO,66,9,0,0.25
KEN000107,"Excessive force against protesters reported in Garissa, North Eastern region.",civil_unrest,low,Protests,Garissa,North Eastern,Kenya,-0.11365283532752812,39.9129227800168,0,2024-02-17,NGO,77,10,0,0.25
KEN000108,"Mob violence reported in Lamu, Coast region.",civil_unrest,low,Riots,Lamu,Coast,Kenya,-2.49438479765133,41.38597764795983,0,2024-08-08,International Organization,44,7,0,0.25
KEN000109,"Excessive force against protesters reported in Kapenguria, Rift Valley region.",civil_unrest,low,Protests,Kapenguria,Rift Valley,Kenya,0.8981457382792644,34.81560124927627,0,2025-07-22,International Organization,78,10,0,0.25
KEN000110,"Arrests reported in Lamu, Coast region.",political,low,Strategic developments,Lamu,Coast,Kenya,-2.583141125323346,40.86409729076566,0,2023-02-08,International Organization,39,6,0,0.25
KEN000111,"Abduction/forced disappearance reported in Wajir, North Eastern region.",violence,medium,Violence against civilians,Wajir,North Eastern,Kenya,1.5730254639520749,40.14756393888562,0,2022-09-11,International Organization,71,8,0,0.5
KEN000112,"Peaceful protest reported in Kiambu, Central region.",civil_unrest,low,Protests,Kiambu,Central,Kenya,-0.8915490111066502,36.375218825348355,0,2021-09-06,NGO,52,7,0,0.25
KEN000113,"Mob violence reported in Nairobi, Nairobi region.",civil_unrest,low,Riots,Nairobi,Nairobi,Kenya,-1.2267513165130859,36.32697084741918,0,2021-02-06,Government,49,7,0,0.25
KEN000114,"Non-state actor overtakes territory reported in Kisumu, Nyanza region.",armed_conflict,medium,Battles,Kisumu,Nyanza,Kenya,0.08726496913726574,35.06228669910908,0,2023-10-26,Media,70,9,0,0.5
KEN000115,"Violent demonstration reported in Kabarnet, Rift Valley region.",civil_unrest,low,Riots,Kabarnet,Rift Valley,Kenya,0.7009605194509164,36.114069123746084,0,2025-10-15,Government,63,8,0,0.25
KEN000116,"Excessive force against protesters reported in Lamu, Coast region.",civil_unrest,low,Protests,Lamu,Coast,Kenya,-2.7278458939075274,40.5659994809895,0,2021-02-18,NGO,66,9,0,0.25
KEN000117,"Attack reported in Lodwar, Rift Valley region.",violence,medium,Violence against civilians,Lodwar,Rift Valley,Kenya,3.052755333956389,35.14066165770736,0,2025-07-11,NGO,46,7,0,0.5
KEN000118,"Shelling/artillery/missile attack reported in Marsabit, Eastern region.",terrorism,medium,Explosions/Remote violence,Marsabit,Eastern,Kenya,2.246899788667653,37.69347828034224,1,2023-07-27,International Organization,71,7,1,0.5
KEN000119,"Arrests reported in Nairobi, Nairobi region.",political,low,Strategic developments,Nairobi,Nairobi,Kenya,-1.2724041321912751,36.90525837809008,0,2024-08-01,Government,44,6,0,0.25
KEN000120,"Mob violence reported in Marsabit, Eastern region.",civil_unrest,low,Riots,Marsabit,Eastern,Kenya,2.0391621890056664,38.11286658356348,0,2025-05-30,International Organization,50,7,0,0.25
KEN000121,"Looting/property destruction reported in Mandera, North Eastern region.",political,low,Strategic developments,Mandera,North Eastern,Kenya,3.5057327861866194,41.80416538881683,0,2025-04-10,Media,71,8,0,0.25
KEN000122,"Abduction/forced disappearance reported in Lamu, Coast region.",violence,medium,Violence against civilians,Lamu,Coast,Kenya,-2.111863335458708,40.72719006422469,1,2025-01-22,Government,62,7,1,0.5
KEN000123,"Remote explosive/landmine/IED reported in Kisumu, Nyanza region.",terrorism,medium,Explosions/Remote violence,Kisumu,Nyanza,Kenya,-0.15342242616859697,34.93109040145936,1,2024-11-20,Media,64,7,1,0.5
KEN000124,"Peaceful protest reported in Kiambu, Central region.",civil_unrest,low,Protests,Kiambu,Central,Kenya,-1.1967691242501861,37.179770448969194,0,2025-06-03,Media,52,7,0,0.25
KEN000125,"Abduction/forced disappearance reported in Marsabit, Eastern region.",violence,high,Violence against civilians,Marsabit,Eastern,Kenya,2.4685029668369136,37.71460117697268,5,2022-06-04,Government,68,7,1,0.75
KEN000126,"Government regains territory reported in Kabarnet, Rift Valley region.",armed_conflict,medium,Battles,Kabarnet,Rift Valley,Kenya,0.6310199378155004,36.11101829452002,0,2024-07-05,International Organization,70,9,0,0.5
KEN000127,"Sexual violence reported in Kapenguria, Rift Valley region.",violence,medium,Violence against civilians,Kapenguria,Rift Valley,Kenya,1.7088120461072704,34.705800715789415,0,2026-01-09,NGO,59,8,0,0.5
KEN000128,"Air/drone strike reported in Mombasa, Coast region.",terrorism,medium,Explosions/Remote violence,Mombasa,Coast,Kenya,-4.299352709577626,39.999077191341705,1,2021-12-04,NGO,51,7,1,0.5
KEN000129,"Shelling/artillery/missile attack reported in Kabarnet, Rift Valley region.",terrorism,medium,Explosions/Remote violence,Kabarnet,Rift Valley,Kenya,0.09849303030799073,35.900945304603034,1,2023-11-11,Media,75,8,1,0.5
KEN000130,"Peaceful protest reported in Wajir, North Eastern region.",civil_unrest,low,Protests,Wajir,North Eastern,Kenya,1.5741331615632388,40.22489338556358,0,2025-02-21,NGO,57,8,0,0.25
KEN000131,"Attack reported in Kiambu, Central region.",violence,medium,Violence against civilians,Kiambu,Central,Kenya,-1.0615681945013056,36.89903892734846,1,2023-05-13,NGO,42,6,1,0.5
KEN000132,"Mob violence reported in Isiolo, Eastern region.",civil_unrest,low,Riots,Isiolo,Eastern,Kenya,0.3560453091307415,37.62456366497974,0,2021-12-29,International Organization,48,7,0,0.25
KEN000133,"Shelling/artillery/missile attack reported in Kiambu, Central region.",terrorism,medium,Explosions/Remote violence,Kiambu,Central,Kenya,-1.1947045249588408,36.72996532381835,3,2022-01-13,Media,69,7,1,0.5
KEN000134,"Sexual violence reported in Lamu, Coast region.",violence,medium,Violence against civilians,Lamu,Coast,Kenya,-2.7083326097104394,41.336436026805515,0,2022-05-20,NGO,47,7,0,0.5
KEN000135,"Mob violence reported in Garissa, North Eastern region.",civil_unrest,low,Riots,Garissa,North Eastern,Kenya,-0.23596421409137047,39.54000520680415,0,2022-09-16,Media,55,8,0,0.25
KEN000136,"Peaceful protest reported in Kisumu, Nyanza region.",civil_unrest,low,Protests,Kisumu,Nyanza,Kenya,-0.41697155345259035,35.179452489171375,0,2024-02-17,NGO,51,7,0,0.25
